User ID,User Name,Job Role,Current Skills,Skill Proficiencies
1,User_1,Database Administrator,"Kubernetes, SQL, TensorFlow","Kubernetes (Expert), SQL (Intermediate), TensorFlow (Intermediate)"
2,User_2,Full Stack Developer,"Java, HTML/CSS, Python, Kubernetes, SQL, Machine Learning, AWS","Java (Intermediate), HTML/CSS (Beginner), Python (Expert), Kubernetes (Intermediate), SQL (Intermediate), Machine Learning (Intermediate), AWS (Expert)"
3,User_3,Software Engineer,"HTML/CSS, AWS, Kubernetes, Git, Data Visualization, TensorFlow, JavaScript","HTML/CSS (Intermediate), AWS (Beginner), Kubernetes (Expert), Git (Intermediate), Data Visualization (Intermediate), TensorFlow (Beginner), JavaScript (Intermediate)"
4,User_4,QA Tester,"Java, SQL, Machine Learning, Data Visualization, Docker, Python, Kubernetes","Java (Intermediate), SQL (Beginner), Machine Learning (Beginner), Data Visualization (Intermediate), Docker (Beginner), Python (Expert), Kubernetes (Intermediate)"
5,User_5,Junior Web Developer,"JavaScript, AWS, Python, SQL, Java","JavaScript (Expert), AWS (Intermediate), Python (Expert), SQL (Intermediate), Java (Intermediate)"
6,User_6,Cloud Engineer,"Kubernetes, SQL, Python, HTML/CSS, Machine Learning","Kubernetes (Beginner), SQL (Expert), Python (Expert), HTML/CSS (Expert), Machine Learning (Intermediate)"
7,User_7,Network Administrator,"AWS, SQL, TensorFlow, Machine Learning","AWS (Intermediate), SQL (Intermediate), TensorFlow (Expert), Machine Learning (Expert)"
8,User_8,Cloud Engineer,"TensorFlow, Java, AWS, Git, HTML/CSS, Python, Data Visualization","TensorFlow (Beginner), Java (Beginner), AWS (Intermediate), Git (Expert), HTML/CSS (Beginner), Python (Intermediate), Data Visualization (Expert)"
9,User_9,Security Analyst,"SQL, Docker, Machine Learning, HTML/CSS, Git, Java","SQL (Expert), Docker (Beginner), Machine Learning (Expert), HTML/CSS (Expert), Git (Expert), Java (Beginner)"
10,User_10,Full Stack Developer,"Kubernetes, Git, AWS, SQL","Kubernetes (Beginner), Git (Expert), AWS (Beginner), SQL (Expert)"
11,User_11,IT Support Specialist,"SQL, Machine Learning, Data Visualization, Kubernetes","SQL (Intermediate), Machine Learning (Beginner), Data Visualization (Intermediate), Kubernetes (Intermediate)"
12,User_12,DevOps Engineer,"SQL, Python, HTML/CSS, Docker, TensorFlow, Machine Learning, Data Visualization","SQL (Intermediate), Python (Intermediate), HTML/CSS (Expert), Docker (Expert), TensorFlow (Expert), Machine Learning (Intermediate), Data Visualization (Expert)"
13,User_13,Network Administrator,"Kubernetes, TensorFlow, JavaScript","Kubernetes (Beginner), TensorFlow (Intermediate), JavaScript (Expert)"
14,User_14,Cloud Engineer,"Java, Python, HTML/CSS, Data Visualization","Java (Intermediate), Python (Beginner), HTML/CSS (Beginner), Data Visualization (Expert)"
15,User_15,Junior Web Developer,"Docker, JavaScript, Python, TensorFlow, HTML/CSS, SQL, Java","Docker (Beginner), JavaScript (Beginner), Python (Expert), TensorFlow (Expert), HTML/CSS (Intermediate), SQL (Intermediate), Java (Intermediate)"
16,User_16,Junior Web Developer,"Machine Learning, Java, Kubernetes","Machine Learning (Intermediate), Java (Intermediate), Kubernetes (Intermediate)"
17,User_17,QA Tester,"Python, Kubernetes, SQL, AWS, Git","Python (Expert), Kubernetes (Intermediate), SQL (Expert), AWS (Expert), Git (Intermediate)"
