Role_ID,Role_Name,Subdomain,Skill_ID,Skill_Name,Skill_Level,Future_Skill_Importance,Industry,Years_of_Experience,Skill_Category,Certification_Required,Source_of_Skill_Requirement
1,Data Scientist,AI & Data,101,Python,Expert,High,Technology,3-5 years,Technical,Yes,Industry Survey
1,Data Scientist,AI & Data,102,Machine Learning,Intermediate,High,Technology,2-3 years,Technical,Yes,Job Postings
1,Data Scientist,AI & Data,103,Data Visualization,Intermediate,Medium,Technology,2-3 years,Technical,No,Internal Reports
2,Project Manager,Management,201,Communication,Expert,High,Management,5+ years,Soft Skill,No,Industry Survey
2,Project Manager,Management,202,Risk Management,Intermediate,High,Management,3-5 years,Technical,Yes,Certification Guidelines
2,Project Manager,Management,203,Budgeting,Intermediate,Medium,Management,3-5 years,Technical,No,Job Postings
3,Web Developer,IT & Software,301,JavaScript,Expert,High,Technology,2-3 years,Technical,No,Industry Survey
3,Web Developer,IT & Software,302,HTML/CSS,Intermediate,Medium,Technology,1-2 years,Technical,No,Job Postings
3,Web Developer,IT & Software,303,Version Control,Intermediate,High,Technology,1-2 years,Technical,No,Internal Reports
4,Cybersecurity Analyst,IT & Security,401,Network Security,Expert,High,Cybersecurity,3-5 years,Technical,Yes,Industry Survey
4,Cybersecurity Analyst,IT & Security,402,Ethical Hacking,Intermediate,High,Cybersecurity,2-3 years,Technical,Yes,Certification Guidelines
4,Cybersecurity Analyst,IT & Security,403,Cryptography,Intermediate,Medium,Cybersecurity,2-3 years,Technical,No,Job Postings
5,Marketing Manager,Marketing,501,Digital Marketing,Expert,High,Marketing,3-5 years,Technical,No,Industry Survey
5,Marketing Manager,Marketing,502,SEO Optimization,Intermediate,High,Marketing,2-3 years,Technical,No,Job Postings
5,Marketing Manager,Marketing,503,Content Strategy,Intermediate,Medium,Marketing,2-3 years,Soft Skill,No,Internal Reports
6,Financial Analyst,Finance,601,Financial Modeling,Expert,High,Finance,3-5 years,Technical,Yes,Certification Guidelines
6,Financial Analyst,Finance,602,Risk Analysis,Intermediate,High,Finance,3-5 years,Technical,Yes,Industry Survey
6,Financial Analyst,Finance,603,Data Analysis,Intermediate,Medium,Finance,2-3 years,Technical,No,Job Postings
7,Healthcare Specialist,Healthcare,701,Patient Care,Expert,High,Healthcare,5+ years,Soft Skill,Yes,Industry Survey
7,Healthcare Specialist,Healthcare,702,Medical Diagnosis,Intermediate,High,Healthcare,3-5 years,Technical,Yes,Certification Guidelines
7,Healthcare Specialist,Healthcare,703,Health Data Management,Intermediate,Medium,Healthcare,2-3 years,Technical,Yes,Job Postings
8,Product Manager,Product Management,801,Product Strategy,Expert,High,Management,5+ years,Soft Skill,No,Industry Survey
8,Product Manager,Product Management,802,Agile Methodologies,Intermediate,High,Management,3-5 years,Technical,Yes,Job Postings
8,Product Manager,Product Management,803,User Experience (UX),Intermediate,Medium,Management,2-3 years,Technical,No,Internal Reports
9,HR Specialist,Human Resources,901,Talent Acquisition,Expert,High,HR,3-5 years,Soft Skill,No,Job Postings
9,HR Specialist,Human Resources,902,Employee Relations,Intermediate,High,HR,3-5 years,Soft Skill,No,Industry Survey
